adult,genre_ids,id,original_language,original_title,popularity,release_date,title,video,vote_average,vote_count
FALSE,"['Comedy', 'Horror']",474350,en,It Chapter Two,442.401,9/6/2019,It Chapter Two,FALSE,7.2,283
FALSE,"['Comedy', 'Crime', 'Drama']",429203,en,The Old Man & the Gun,247.416,9/28/2018,The Old Man & the Gun,FALSE,6.3,498
FALSE,"['Action', 'Adventure', 'Science Fiction']",320288,en,Dark Phoenix,179.504,6/7/2019,Dark Phoenix,FALSE,6.1,1675
FALSE,['Action'],384018,en,Fast & Furious Presents: Hobbs & Shaw,124.178,8/2/2019,Fast & Furious Presents: Hobbs & Shaw,FALSE,6.5,1028
FALSE,['Action'],423204,en,Angel Has Fallen,149.039,8/23/2019,Angel Has Fallen,FALSE,5.7,276
FALSE,"['Action', 'Adventure', 'Animation', 'Drama', 'Family']",420818,en,The Lion King,124.906,7/19/2019,The Lion King,FALSE,7.2,2366
FALSE,"['Action', 'Crime', 'Thriller']",458156,en,John Wick: Chapter 3 – Parabellum,143.032,5/17/2019,John Wick: Chapter 3 – Parabellum,FALSE,7.1,2377
FALSE,"['Adventure', 'Animation', 'Comedy', 'Family']",920,en,Cars,95.76,6/9/2006,Cars,FALSE,6.7,8027
FALSE,"['Action', 'Adventure', 'Science Fiction']",429617,en,Spider-Man: Far from Home,182.251,7/2/2019,Spider-Man: Far from Home,FALSE,7.7,3369
FALSE,"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Family']",420817,en,Aladdin,121.081,5/24/2019,Aladdin,FALSE,7.1,3177
FALSE,['Comedy'],521777,en,Good Boys,87.772,8/16/2019,Good Boys,FALSE,6.6,190
FALSE,"['Animation', 'Romance']",486589,en,Red Shoes and the Seven Dwarfs,133.483,8/1/2019,Red Shoes and the Seven Dwarfs,FALSE,5.1,28
FALSE,"['Action', 'Science Fiction']",373571,en,Godzilla: King of the Monsters,84.617,5/31/2019,Godzilla: King of the Monsters,FALSE,6.2,1321
FALSE,['Comedy'],540901,en,Hustlers,100.01,9/13/2019,Hustlers,FALSE,8,10
FALSE,"['Adventure', 'Science Fiction', 'Action']",299534,en,Avengers: Endgame,79.578,4/26/2019,Avengers: Endgame,FALSE,8.3,9296
FALSE,"['Comedy', 'Drama', 'Romance']",625450,en,Tall Girl,110.919,9/13/2019,Tall Girl,FALSE,10,1
FALSE,"['Action', 'Thriller']",245891,en,John Wick,70.622,10/24/2014,John Wick,FALSE,7.2,10769
FALSE,"['Drama', 'Romance']",593961,tl,"Hello, Love, Goodbye",46.032,7/31/2019,"Hello, Love, Goodbye",FALSE,5.6,37
FALSE,"['Action', 'Adventure', 'Science Fiction']",299536,en,Avengers: Infinity War,74.539,4/27/2018,Avengers: Infinity War,FALSE,8.3,15161
FALSE,"['Action', 'Comedy', 'Crime', 'Drama', 'Western']",466272,en,Once Upon a Time in Hollywood,58.089,7/26/2019,Once Upon a Time in Hollywood,FALSE,7.5,941
FALSE,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",456740,en,Hellboy,51.087,4/12/2019,Hellboy,FALSE,5.1,1109
FALSE,"['Comedy', 'Fantasy', 'Music', 'Romance']",515195,en,Yesterday,64.774,6/28/2019,Yesterday,FALSE,6.8,441
FALSE,"['Action', 'Adventure', 'Fantasy']",120,en,The Lord of the Rings: The Fellowship of the Ring,35.98,12/19/2001,The Lord of the Rings: The Fellowship of the Ring,FALSE,8.3,15139
FALSE,"['Animation', 'Comedy', 'Drama', 'Family']",150540,en,Inside Out,39.147,6/19/2015,Inside Out,FALSE,7.9,13277
FALSE,"['Action', 'Adventure', 'Science Fiction']",27205,en,Inception,38.109,7/16/2010,Inception,FALSE,8.3,23096
FALSE,"['Adventure', 'Animation', 'Family']",166428,en,How to Train Your Dragon: The Hidden World,49,2/22/2019,How to Train Your Dragon: The Hidden World,FALSE,7.7,2501
FALSE,"['Action', 'Adventure', 'Science Fiction']",118340,en,Guardians of the Galaxy,41.537,8/1/2014,Guardians of the Galaxy,FALSE,7.9,18729
FALSE,"['Action', 'Fantasy', 'Science Fiction']",119569,en,Marvel One-Shot: Item 47,16.147,9/25/2012,Marvel One-Shot: Item 47,FALSE,6.6,219
FALSE,"['Action', 'Adventure', 'Animation', 'Comedy', 'Science Fiction']",324857,en,Spider-Man: Into the Spider-Verse,50.428,12/14/2018,Spider-Man: Into the Spider-Verse,FALSE,8.4,5076
FALSE,"['Drama', 'Music']",504608,en,Rocketman,43.23,5/31/2019,Rocketman,FALSE,7.5,1096
FALSE,"['Action', 'Adventure', 'Drama', 'Science Fiction']",315635,en,Spider-Man: Homecoming,47.547,7/7/2017,Spider-Man: Homecoming,FALSE,7.4,12468
FALSE,"['Crime', 'Mystery', 'Thriller']",441282,en,Night Hunter,61.107,9/6/2019,Night Hunter,FALSE,6.3,61
FALSE,['Drama'],472674,en,The Goldfinch,33.177,9/13/2019,The Goldfinch,FALSE,5.8,5
FALSE,['Comedy'],625128,en,Bill Burr: Paper Tiger,32.035,9/10/2019,Bill Burr: Paper Tiger,FALSE,7.4,9
FALSE,"['Action', 'Adventure', 'Crime', 'Science Fiction']",566057,ja,ルパンレンジャーＶＳパトレンジャーＶＳキュウレンジャー,34.504,5/3/2019,Lupinranger VS Patranger VS Kyuranger,FALSE,0,0
FALSE,"['Adventure', 'Fantasy', 'Family']",671,en,Harry Potter and the Philosopher's Stone,43.66,11/16/2001,Harry Potter and the Philosopher's Stone,FALSE,7.8,14619
FALSE,"['Adventure', 'Drama', 'Science Fiction']",157336,en,Interstellar,37.044,11/5/2014,Interstellar,FALSE,8.3,19464
FALSE,"['Action', 'Adventure', 'Comedy', 'Fantasy']",284053,en,Thor: Ragnarok,46.905,11/3/2017,Thor: Ragnarok,FALSE,7.5,12135
FALSE,"['Adventure', 'Animation', 'Comedy', 'Family']",412117,en,The Secret Life of Pets 2,36.174,6/7/2019,The Secret Life of Pets 2,FALSE,6.6,556
FALSE,"['Comedy', 'Mystery']",449562,en,The Hustle,52.23,5/10/2019,The Hustle,FALSE,6.1,580
FALSE,"['Action', 'Adventure', 'Animation', 'Comedy', 'Fantasy', 'Family']",62177,en,Brave,30.013,6/22/2012,Brave,FALSE,6.9,8504
FALSE,"['Action', 'Crime', 'Drama', 'Thriller']",49026,en,The Dark Knight Rises,32.877,7/20/2012,The Dark Knight Rises,FALSE,7.7,14429
FALSE,"['Action', 'Crime', 'Thriller']",156022,en,The Equalizer,30.593,9/26/2014,The Equalizer,FALSE,7.2,5220
FALSE,"['War', 'Drama', 'Action']",228150,en,Fury,24.599,10/17/2014,Fury,FALSE,7.4,6916
FALSE,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",127585,en,X-Men: Days of Future Past,29.655,5/23/2014,X-Men: Days of Future Past,FALSE,7.5,10469
FALSE,"['Action', 'Thriller']",260346,en,Taken 3,31.9,1/9/2015,Taken 3,FALSE,6.2,3555
FALSE,"['Drama', 'Romance', 'Music']",332562,en,A Star Is Born,31.335,10/5/2018,A Star Is Born,FALSE,7.5,6396
FALSE,"['Crime', 'Thriller']",680,en,Pulp Fiction,27.994,10/14/1994,Pulp Fiction,FALSE,8.4,16071
FALSE,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",283995,en,Guardians of the Galaxy Vol. 2,33.563,5/5/2017,Guardians of the Galaxy Vol. 2,FALSE,7.7,13181
FALSE,"['Action', 'Drama', 'Fantasy']",274857,en,King Arthur: Legend of the Sword,19.064,5/12/2017,King Arthur: Legend of the Sword,FALSE,6.5,3455
FALSE,"['Mystery', 'Thriller']",452832,en,Serenity,29.496,1/25/2019,Serenity,FALSE,5.2,538
FALSE,"['Adventure', 'Fantasy']",428078,en,Mortal Engines,28.069,12/14/2018,Mortal Engines,FALSE,6,2091
FALSE,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",87101,en,Terminator Genisys,35.811,7/1/2015,Terminator Genisys,FALSE,5.9,5479
FALSE,"['Adventure', 'Comedy', 'Family']",499701,en,Dora and the Lost City of Gold,37.459,8/9/2019,Dora and the Lost City of Gold,FALSE,6.2,130
FALSE,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",198663,en,The Maze Runner,29.977,9/19/2014,The Maze Runner,FALSE,7.1,11023
FALSE,"['Comedy', 'Drama', 'Music']",534259,en,Blinded by the Light,31.486,8/14/2019,Blinded by the Light,FALSE,7.5,76
FALSE,"['Adventure', 'Animation', 'Comedy', 'Family']",269149,en,Zootopia,29.412,3/4/2016,Zootopia,FALSE,7.7,10397
FALSE,"['Action', 'Thriller']",480042,en,Escape Plan: The Extractors,23.635,7/2/2019,Escape Plan: The Extractors,FALSE,4.7,146
FALSE,"['Action', 'Adventure', 'Fantasy']",297802,en,Aquaman,32.242,12/21/2018,Aquaman,FALSE,6.8,6928
FALSE,['Action'],438650,en,Cold Pursuit,26.615,2/8/2019,Cold Pursuit,FALSE,5.4,960
FALSE,"['Adventure', 'Mystery', 'Science Fiction']",70981,en,Prometheus,22.181,6/8/2012,Prometheus,FALSE,6.4,7632
FALSE,"['Drama', 'History', 'War']",857,en,Saving Private Ryan,19.213,7/24/1998,Saving Private Ryan,FALSE,8.1,8855
FALSE,"['Adventure', 'Drama', 'Science Fiction']",286217,en,The Martian,28.817,10/2/2015,The Martian,FALSE,7.7,12629
FALSE,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",262500,en,Insurgent,24.597,3/20/2015,Insurgent,FALSE,6.3,7024
FALSE,"['Adventure', 'Fantasy', 'Family']",259316,en,Fantastic Beasts and Where to Find Them,25.38,11/18/2016,Fantastic Beasts and Where to Find Them,FALSE,7.4,12658
FALSE,"['Drama', 'Fantasy', 'Romance']",8966,en,Twilight,24.232,11/21/2008,Twilight,FALSE,6,7737
FALSE,"['Action', 'Thriller']",399402,en,Hunter Killer,28.147,10/26/2018,Hunter Killer,FALSE,6.4,799
FALSE,['Horror'],521029,en,Annabelle Comes Home,27.47,6/26/2019,Annabelle Comes Home,FALSE,6.1,708
FALSE,"['Drama', 'Fantasy', 'Romance', 'Family']",150689,en,Cinderella,22.218,3/13/2015,Cinderella,FALSE,6.7,4709
FALSE,"['Action', 'Adventure', 'Fantasy', 'Science Fiction', 'Thriller']",18,en,The Fifth Element,27.486,5/9/1997,The Fifth Element,FALSE,7.4,6488
FALSE,"['Action', 'Adventure', 'Science Fiction']",76341,en,Mad Max: Fury Road,28.976,5/15/2015,Mad Max: Fury Road,FALSE,7.4,14904
FALSE,"['Fantasy', 'Romance', 'Family']",321612,en,Beauty and the Beast,26.886,3/17/2017,Beauty and the Beast,FALSE,6.9,11391
FALSE,"['Action', 'Adventure', 'Thriller', 'War']",1368,en,First Blood,23.965,10/22/1982,First Blood,FALSE,7.4,2973
FALSE,"['Action', 'Thriller']",267860,en,London Has Fallen,25.073,3/4/2016,London Has Fallen,FALSE,5.9,2748
FALSE,"['Animation', 'Drama', 'Family']",8587,en,The Lion King,27.684,6/23/1994,The Lion King,FALSE,8.2,10878
FALSE,"['Drama', 'Mystery', 'Thriller']",210577,en,Gone Girl,25.777,10/3/2014,Gone Girl,FALSE,7.9,10940
FALSE,"['Adventure', 'Comedy', 'Fantasy', 'Family']",181533,en,Night at the Museum: Secret of the Tomb,20.561,12/19/2014,Night at the Museum: Secret of the Tomb,FALSE,6.2,3720
FALSE,"['Crime', 'Mystery', 'Thriller']",807,en,Se7en,25.077,9/22/1995,Se7en,FALSE,8.3,11224
FALSE,"['Drama', 'Music']",244786,en,Whiplash,30.363,10/10/2014,Whiplash,FALSE,8.4,8280
FALSE,"['Action', 'Science Fiction', 'Thriller']",218,en,The Terminator,27.494,10/26/1984,The Terminator,FALSE,7.5,7162
FALSE,"['Animation', 'Fantasy', 'Family']",8392,ja,となりのトトロ,25.363,12/11/2018,My Neighbor Totoro,FALSE,8.1,3452
FALSE,"['Comedy', 'Fantasy', 'Family']",400650,en,Mary Poppins Returns,23.862,12/19/2018,Mary Poppins Returns,FALSE,6.6,1702
FALSE,"['Action', 'Drama', 'Science Fiction', 'Thriller']",119450,en,Dawn of the Planet of the Apes,24.963,7/11/2014,Dawn of the Planet of the Apes,FALSE,7.3,7319
FALSE,"['Adventure', 'Animation', 'Comedy', 'Family']",49013,en,Cars 2,20.992,6/16/2011,Cars 2,FALSE,5.9,4285
FALSE,"['Animation', 'Comedy', 'Fantasy', 'Family']",2062,en,Ratatouille,25.801,6/22/2007,Ratatouille,FALSE,7.7,9503
FALSE,"['Comedy', 'Drama']",490132,en,Green Book,25.539,11/16/2018,Green Book,FALSE,8.3,4235
FALSE,"['Crime', 'Drama']",574302,ko,타짜: 원 아이드 잭,19.407,9/11/2019,Tazza: One Eyed Jack,FALSE,0,0
FALSE,"['Adventure', 'Animation', 'Comedy', 'Fantasy', 'Family']",354912,en,Coco,23.998,11/22/2017,Coco,FALSE,8.2,9305
FALSE,"['Action', 'Adventure', 'Science Fiction']",339964,en,Valerian and the City of a Thousand Planets,26.863,7/21/2017,Valerian and the City of a Thousand Planets,FALSE,6.6,4366
FALSE,"['Animation', 'Comedy', 'Family']",10193,en,Toy Story 3,19.88,6/17/2010,Toy Story 3,FALSE,7.8,8988
FALSE,"['Drama', 'Romance']",535526,id,Antologi Rasa,24.577,2/14/2019,Antologi Rasa,FALSE,4.6,5
FALSE,"['Action', 'Crime', 'Drama']",516700,id,Gundala,20.308,8/29/2019,Gundala,FALSE,6.3,12
FALSE,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",363088,en,Ant-Man and the Wasp,31.606,7/6/2018,Ant-Man and the Wasp,FALSE,7,6956
FALSE,"['Comedy', 'Romance']",623195,en,Falling Inn Love,25.286,8/29/2019,Falling Inn Love,FALSE,6.4,209
FALSE,"['Comedy', 'Drama']",445629,en,Fighting with My Family,24.878,2/14/2019,Fighting with My Family,FALSE,6.6,468
FALSE,"['Adventure', 'Science Fiction']",333339,en,Ready Player One,25.037,3/29/2018,Ready Player One,FALSE,7.6,7618
FALSE,"['Crime', 'Drama', 'Comedy']",106646,en,The Wolf of Wall Street,20.55,12/25/2013,The Wolf of Wall Street,FALSE,8,13040
FALSE,"['Drama', 'History']",381284,en,Hidden Figures,25.628,12/10/2016,Hidden Figures,FALSE,8,4991
FALSE,"['Thriller', 'Crime', 'Drama']",101,fr,Léon,22.579,11/18/1994,Léon: The Professional,FALSE,8.3,8106
FALSE,"['Comedy', 'Fantasy']",4011,en,Beetlejuice,21.053,3/30/1988,Beetlejuice,FALSE,7.3,3192
FALSE,"['Action', 'Adventure', 'Fantasy']",1865,en,Pirates of the Caribbean: On Stranger Tides,22.139,5/20/2011,Pirates of the Caribbean: On Stranger Tides,FALSE,6.4,8903
FALSE,"['Adventure', 'Fantasy', 'Family']",32657,en,Percy Jackson & the Olympians: The Lightning Thief,21.834,2/11/2010,Percy Jackson & the Olympians: The Lightning Thief,FALSE,6.1,4457
FALSE,"['Adventure', 'Fantasy', 'Family']",411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",19.732,12/9/2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",FALSE,7,6059
FALSE,"['Animation', 'Family', 'Fantasy']",10144,en,The Little Mermaid,18.354,11/17/1989,The Little Mermaid,FALSE,7.3,4382
FALSE,"['Crime', 'Drama', 'Thriller']",504172,en,The Mule,22.5,12/14/2018,The Mule,FALSE,6.6,1969
FALSE,"['Action', 'Adventure', 'Animation', 'Family']",9806,en,The Incredibles,20.267,11/5/2004,The Incredibles,FALSE,7.7,11106
FALSE,"['Horror', 'Thriller']",694,en,The Shining,17.713,5/23/1980,The Shining,FALSE,8.2,9060
FALSE,"['Action', 'Adventure', 'Science Fiction']",1724,en,The Incredible Hulk,21.744,6/12/2008,The Incredible Hulk,FALSE,6.2,6663
FALSE,"['Adventure', 'Animation', 'Fantasy', 'Family']",10191,en,How to Train Your Dragon,19.415,3/26/2010,How to Train Your Dragon,FALSE,7.7,7977
FALSE,"['Action', 'Drama', 'Thriller', 'War']",16869,en,Inglourious Basterds,24.754,8/21/2009,Inglourious Basterds,FALSE,8.1,12699
FALSE,"['Drama', 'Crime']",627,en,Trainspotting,24.788,7/19/1996,Trainspotting,FALSE,8,5625
FALSE,"['Action', 'Crime']",24,en,Kill Bill: Vol. 1,22.035,10/10/2003,Kill Bill: Vol. 1,FALSE,7.9,9969
FALSE,"['Action', 'Adventure', 'Thriller']",699,en,For Your Eyes Only,13.727,6/24/1981,For Your Eyes Only,FALSE,6.5,857
FALSE,"['Adventure', 'Animation', 'Comedy', 'Family']",270946,en,Penguins of Madagascar,20.053,11/26/2014,Penguins of Madagascar,FALSE,6.4,2383
FALSE,['Western'],429,it,"Il buono, il brutto, il cattivo",20.772,12/29/1967,"The Good, the Bad and the Ugly",FALSE,8.4,4273
FALSE,"['Adventure', 'Fantasy', 'Family']",767,en,Harry Potter and the Half-Blood Prince,24.987,7/8/2009,Harry Potter and the Half-Blood Prince,FALSE,7.6,11059
FALSE,"['Animation', 'Family']",12429,ja,崖の上のポニョ,23.075,8/14/2009,Ponyo,FALSE,7.7,1825
FALSE,['Science Fiction'],830,en,Forbidden Planet,17.91,3/15/1956,Forbidden Planet,FALSE,7.3,407
FALSE,"['Action', 'Adventure', 'Fantasy']",564,en,The Mummy,24.551,5/7/1999,The Mummy,FALSE,6.7,5207
FALSE,"['Adventure', 'Animation', 'Comedy', 'Family']",9487,en,A Bug's Life,18.845,11/25/1998,A Bug's Life,FALSE,6.9,5266
FALSE,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",135397,en,Jurassic World,19.633,6/12/2015,Jurassic World,FALSE,6.6,14470
FALSE,"['Action', 'Crime']",339403,en,Baby Driver,17.738,6/28/2017,Baby Driver,FALSE,7.4,8628
FALSE,"['Crime', 'Drama']",571391,es,Chicuarotes,10.71,9/10/2019,Chicuarotes,FALSE,0,12
FALSE,"['Action', 'Science Fiction', 'Horror']",345940,en,The Meg,19.936,8/10/2018,The Meg,FALSE,5.9,3235
FALSE,['Documentary'],616800,en,Illuminated: The True Story of the Illuminati,11.689,7/30/2019,Illuminated: The True Story of the Illuminati,FALSE,7.7,3
FALSE,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",106,en,Predator,23.479,6/12/1987,Predator,FALSE,7.4,3901
FALSE,['Drama'],291984,en,The Death & Life of John F. Donovan,21.971,3/13/2019,The Death & Life of John F. Donovan,FALSE,7.7,245
FALSE,"['Adventure', 'Comedy', 'Family', 'Fantasy']",118,en,Charlie and the Chocolate Factory,13.619,7/15/2005,Charlie and the Chocolate Factory,FALSE,7,8667
FALSE,"['Action', 'Drama', 'Science Fiction', 'Thriller']",315837,en,Ghost in the Shell,18.933,3/31/2017,Ghost in the Shell,FALSE,6,5345
FALSE,"['Action', 'Animation', 'Comedy']",496891,ja,ガールズ＆パンツァー 最終章 第2話,28.03,6/15/2019,Girls und Panzer das Finale: Part II,FALSE,2.3,3
FALSE,"['Action', 'Adventure', 'Science Fiction']",330459,en,Rogue One: A Star Wars Story,18.67,12/16/2016,Rogue One: A Star Wars Story,FALSE,7.5,9653
FALSE,"['Action', 'Comedy', 'Thriller']",291805,en,Now You See Me 2,24.637,6/10/2016,Now You See Me 2,FALSE,6.8,7050
FALSE,"['Thriller', 'Action', 'Crime']",345887,en,The Equalizer 2,16.895,7/20/2018,The Equalizer 2,FALSE,6.4,2289
FALSE,"['Fantasy', 'Horror', 'Thriller']",626576,en,Mayday,10.298,9/10/2019,Mayday,FALSE,0,0
FALSE,"['Adventure', 'Animation', 'Comedy', 'Family']",14160,en,Up,19.098,5/28/2009,Up,FALSE,7.9,12880
FALSE,"['Comedy', 'Drama']",505600,en,Booksmart,21.877,5/24/2019,Booksmart,FALSE,7.2,509
FALSE,"['Adventure', 'Animation', 'Comedy', 'Family']",127380,en,Finding Dory,17.14,6/17/2016,Finding Dory,FALSE,7,8205
FALSE,"['Action', 'Adventure', 'Animation', 'Comedy', 'Fantasy', 'Science Fiction', 'Family']",280217,en,The Lego Movie 2: The Second Part,19.531,1/26/2019,The Lego Movie 2: The Second Part,FALSE,6.6,762
FALSE,['Drama'],569711,en,Human Capital,9.097,9/10/2019,Human Capital,FALSE,0,1
FALSE,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",335988,en,Transformers: The Last Knight,20.994,6/21/2017,Transformers: The Last Knight,FALSE,6,3409
FALSE,"['Action', 'Comedy', 'Science Fiction']",41154,en,Men in Black 3,17.716,5/25/2012,Men in Black 3,FALSE,6.4,6701
FALSE,"['Horror', 'Science Fiction', 'Thriller']",158015,en,The Purge,18.441,6/6/2013,The Purge,FALSE,6.2,5078
FALSE,"['Action', 'Adventure', 'Thriller']",56292,en,Mission: Impossible - Ghost Protocol,17.597,12/21/2011,Mission: Impossible - Ghost Protocol,FALSE,7,6315
FALSE,"['Action', 'Adventure', 'Fantasy']",559,en,Spider-Man 3,21.902,5/3/2007,Spider-Man 3,FALSE,6.1,7533
FALSE,"['Action', 'Fantasy', 'Horror']",72331,en,Abraham Lincoln: Vampire Hunter,18.577,6/22/2012,Abraham Lincoln: Vampire Hunter,FALSE,5.6,2080
FALSE,['Comedy'],813,en,Airplane!,21.001,7/2/1980,Airplane!,FALSE,7.3,2190
FALSE,"['Comedy', 'Drama']",575559,en,The County,14.021,9/11/2019,The County,FALSE,0,0
FALSE,"['Action', 'Adventure', 'Science Fiction']",101299,en,The Hunger Games: Catching Fire,25.068,11/22/2013,The Hunger Games: Catching Fire,FALSE,7.4,11603
FALSE,"['Action', 'Adventure']",87,en,Indiana Jones and the Temple of Doom,17.577,5/23/1984,Indiana Jones and the Temple of Doom,FALSE,7.2,5120
FALSE,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",76757,en,Jupiter Ascending,18.905,2/27/2015,Jupiter Ascending,FALSE,5.3,4572
FALSE,"['Action', 'Adventure', 'Drama']",98,en,Gladiator,21.865,5/1/2000,Gladiator,FALSE,8.1,10185
FALSE,"['Action', 'Crime', 'Science Fiction']",198184,en,Chappie,17.69,3/6/2015,Chappie,FALSE,6.7,5152
FALSE,"['Action', 'Adventure']",177677,en,Mission: Impossible - Rogue Nation,21.93,7/31/2015,Mission: Impossible - Rogue Nation,FALSE,7.1,5450
FALSE,"['Action', 'Adventure', 'Comedy', 'Crime']",207703,en,Kingsman: The Secret Service,25.726,12/13/2014,Kingsman: The Secret Service,FALSE,7.6,10665
FALSE,"['Action', 'Thriller']",347375,en,Mile 22,18.045,8/17/2018,Mile 22,FALSE,6,1032
FALSE,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Thriller']",12244,en,9,16.976,9/9/2009,9,FALSE,6.7,2047
FALSE,"['Drama', 'Mystery', 'Thriller']",9741,en,Unbreakable,17.926,11/22/2000,Unbreakable,FALSE,7.1,5321
FALSE,"['Mystery', 'Thriller']",2832,en,Identity,19.345,4/25/2003,Identity,FALSE,7.2,1961
FALSE,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",307663,en,Vice,12.839,1/16/2015,Vice,FALSE,4.3,325
FALSE,"['Action', 'Adventure', 'Thriller']",37724,en,Skyfall,17.357,11/9/2012,Skyfall,FALSE,7.1,10717
FALSE,"['Fantasy', 'Drama', 'Crime']",497,en,The Green Mile,20.455,12/10/1999,The Green Mile,FALSE,8.5,8757
FALSE,"['Adventure', 'Drama', 'Family']",498248,fr,Mia et le lion blanc,17.477,4/12/2019,Mia and the White Lion,FALSE,7.4,273
FALSE,"['Action', 'Comedy', 'Science Fiction']",107985,en,The World's End,15.749,8/23/2013,The World's End,FALSE,6.7,3155
FALSE,['Documentary'],611761,en,Inmate #1: The Rise of Danny Trejo,8.118,9/10/2019,Inmate #1: The Rise of Danny Trejo,FALSE,0,0
FALSE,"['Action', 'Adventure', 'Science Fiction']",131634,en,The Hunger Games: Mockingjay - Part 2,21.994,11/18/2015,The Hunger Games: Mockingjay - Part 2,FALSE,6.8,7923
FALSE,"['Drama', 'Horror', 'Thriller']",539,en,Psycho,17.647,9/8/1960,Psycho,FALSE,8.4,5271
FALSE,"['Drama', 'Science Fiction', 'Romance']",612507,ja,初恋ロスタイム,8.866,9/10/2019,Love Stoppage Time,FALSE,0,0
FALSE,"['Animation', 'Family']",73723,en,The Lorax,21.416,3/1/2012,The Lorax,FALSE,6.4,1895
FALSE,"['Horror', 'Mystery', 'Science Fiction']",1091,en,The Thing,19.874,6/25/1982,The Thing,FALSE,8,3263
FALSE,"['Action', 'Adventure', 'Crime', 'Mystery']",10528,en,Sherlock Holmes,13.64,12/25/2009,Sherlock Holmes,FALSE,7.2,9398
FALSE,"['Animation', 'Family']",45772,en,Gnomeo & Juliet,17.625,2/11/2011,Gnomeo & Juliet,FALSE,5.8,1144
FALSE,['Documentary'],619637,en,"Jordan River Anderson, The Messenger",8.856,9/10/2019,"Jordan River Anderson, The Messenger",FALSE,0,0
FALSE,"['Adventure', 'Drama', 'Fantasy', 'Family']",278927,en,The Jungle Book,17.872,4/15/2016,The Jungle Book,FALSE,6.8,5466
FALSE,"['Action', 'Crime']",585831,ko,나쁜 녀석들: 더 무비,14.13,9/11/2019,The Bad Guys: Reign of Chaos,FALSE,0,0
FALSE,"['Action', 'Adventure', 'Thriller']",657,en,From Russia with Love,17.375,10/11/1963,From Russia with Love,FALSE,7.1,1388
FALSE,['Documentary'],621753,en,"Bikram: Yogi, Guru, Predator",8.349,9/10/2019,"Bikram: Yogi, Guru, Predator",FALSE,0,0
FALSE,['Documentary'],573793,it,Salvatore Ferragamo: The Shoemaker of Dreams,8.153,9/10/2019,Salvatore Ferragamo: The Shoemaker of Dreams,FALSE,0,0
FALSE,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",44896,en,Rango,11.552,3/3/2011,Rango,FALSE,6.6,3561
FALSE,[],595875,ar,Adam,13.579,9/11/2019,Adam,FALSE,0,0
FALSE,"['Crime', 'Mystery', 'Thriller']",574,en,The Man Who Knew Too Much,18.042,6/1/1956,The Man Who Knew Too Much,FALSE,7.5,596
FALSE,"['Action', 'Adventure', 'Science Fiction']",1771,en,Captain America: The First Avenger,18.985,7/22/2011,Captain America: The First Avenger,FALSE,6.9,13422
FALSE,"['Horror', 'Adventure', 'Action']",7131,en,Van Helsing,14.869,5/7/2004,Van Helsing,FALSE,6.1,3219
FALSE,"['Comedy', 'Crime']",10587,en,Police Academy 4: Citizens on Patrol,13.954,4/2/1987,Police Academy 4: Citizens on Patrol,FALSE,5.3,549
FALSE,"['Adventure', 'Drama', 'War']",8619,en,Master and Commander: The Far Side of the World,20.272,11/14/2003,Master and Commander: The Far Side of the World,FALSE,7.1,1567
FALSE,"['Action', 'History', 'War']",855,en,Black Hawk Down,16.777,12/28/2001,Black Hawk Down,FALSE,7.3,3088
FALSE,['Drama'],316029,en,The Greatest Showman,16.417,12/20/2017,The Greatest Showman,FALSE,8,5532
FALSE,"['Adventure', 'Fantasy', 'Family']",522518,en,A Dog's Journey,20.121,5/17/2019,A Dog's Journey,FALSE,7.1,115
FALSE,"['Crime', 'Drama', 'Thriller']",6977,en,No Country for Old Men,15.809,11/8/2007,No Country for Old Men,FALSE,7.9,6220
FALSE,"['Action', 'Adventure', 'Science Fiction']",181812,en,Star Wars: The Rise of Skywalker,15.673,12/20/2019,Star Wars: The Rise of Skywalker,FALSE,0,0
FALSE,"['Science Fiction', 'Thriller', 'Drama']",49047,en,Gravity,17.468,10/4/2013,Gravity,FALSE,7.2,9938
FALSE,"['Action', 'Mystery', 'Thriller']",341013,en,Atomic Blonde,17.303,7/28/2017,Atomic Blonde,FALSE,6.3,3835
FALSE,"['Adventure', 'Animation', 'Comedy', 'Family']",260514,en,Cars 3,16.923,6/16/2017,Cars 3,FALSE,6.7,2783
